location,size,total_sqft,bath,price,bhk,price_per_sqft
Alipore,2 BHK,700.0,1.0,26.0,2,3714.285714285714
Alipore,3 BHK,1804.0,3.0,120.0,3,6651.884700665189
Alipore,1 BHK,525.0,1.0,26.0,1,4952.380952380952
Alipore,3 BHK,1584.0,3.0,65.0,3,4103.535353535353
Alipore,4 Bedroom,3000.0,5.0,275.0,4,9166.666666666666
Alipore,2 BHK,1132.5,2.0,48.13,2,4249.889624724062
Alipore,2 BHK,1050.0,2.0,52.07,2,4959.047619047619
Alipore,3 BHK,1825.0,3.0,100.0,3,5479.45205479452
Alipore,2 BHK,1190.0,2.0,49.98,2,4200.0
Alipore,2 BHK,1220.0,2.0,56.5,2,4631.147540983607
Alipore,2 BHK,865.0,2.0,42.0,2,4855.491329479769
Alipore,3 BHK,1697.0,3.0,108.0,3,6364.172068355922
Alipore,2 BHK,1225.0,2.0,57.0,2,4653.061224489796
Alipore,3 BHK,1690.0,2.0,55.0,3,3254.437869822485
Alipore,3 BHK,1870.0,3.0,110.0,3,5882.35294117647
Alipore,3 Bedroom,1650.0,4.0,160.0,3,9696.969696969696
Alipore,2 BHK,1100.0,2.0,106.0,2,9636.363636363636
Alipore,4 Bedroom,3042.0,4.0,131.0,4,4306.37738330046
Alipore,3 BHK,1893.0,3.0,140.0,3,7395.66825145272
Alipore,2 BHK,946.0,2.0,38.0,2,4016.913319238901
Alipore,3 BHK,1726.0,3.0,145.0,3,8400.92699884125
Alipore,4 Bedroom,3750.0,6.0,290.0,4,7733.333333333333
Alipore,2 BHK,1350.0,2.0,67.5,2,5000.0
Alipore,2 BHK,1260.0,2.0,49.5,2,3928.5714285714284
Alipore,3 Bedroom,1200.0,3.0,74.0,3,6166.666666666667
Alipore,3 BHK,1229.0,3.0,86.03,3,7000.0
Alipore,2 BHK,945.0,2.0,50.0,2,5291.005291005291
Alipore,3 BHK,1575.0,2.0,78.0,3,4952.380952380952
Alipore,3 BHK,3500.0,4.0,330.0,3,9428.57142857143
Alipore,3 Bedroom,1200.0,2.0,65.0,3,5416.666666666667
Alipore,4 BHK,3161.0,4.0,214.0,4,6770.00949066751
Alipore,2 BHK,1145.0,2.0,75.0,2,6550.218340611354
Alipore,3 Bedroom,950.0,3.0,80.0,3,8421.052631578947
Alipore,2 BHK,1051.0,2.0,33.0,2,3139.8667935299713
Alipore,3 BHK,1991.0,4.0,100.0,3,5022.601707684581
Alipore,3 BHK,1100.0,3.0,50.0,3,4545.454545454545
Alipore,3 BHK,1745.0,3.0,115.0,3,6590.25787965616
Alipore,2 Bedroom,1300.0,2.0,54.0,2,4153.846153846154
Alipore,4 BHK,2600.0,4.0,260.0,4,10000.0
Alipore,3 Bedroom,2238.0,3.0,140.0,3,6255.585344057194
Alipore,3 BHK,1400.0,2.0,62.0,3,4428.571428571428
Alipore,2 BHK,1418.0,2.0,103.0,2,7263.7517630465445
Alipore,2 BHK,1080.0,2.0,37.8,2,3499.9999999999995
Alipore,2 Bedroom,1200.0,2.0,45.0,2,3750.0
Alipore,3 BHK,1842.0,3.0,115.0,3,6243.213897937025
Alipore,2 BHK,1146.0,2.0,55.0,2,4799.301919720768
Alipore,1 BHK,440.0,1.0,28.0,1,6363.636363636364
Alipore,2 BHK,1253.0,2.0,52.66,2,4202.713487629689
Alipore,3 Bedroom,1200.0,3.0,85.0,3,7083.333333333333
Alipore,4 Bedroom,2100.0,4.0,95.0,4,4523.809523809524
