location,size,total_sqft,bath,price
Barasat,2 BHK,1056,2.0,39.07
Keshtopur,4 Bedroom,2600,5.0,120.0
Rajarhat,3 BHK,1440,2.0,62.0
Narendrapur,3 BHK,1521,3.0,95.0
New Town,2 BHK,1200,2.0,51.0
Joka,2 BHK,1170,2.0,38.0
Tangra,4 BHK,2732,4.0,204.0
Sonarpur,4 BHK,3300,4.0,600.0
Sonarpur,3 BHK,1310,3.0,63.25
Madhyamgram,6 Bedroom,1020,6.0,370.0
Dum Dum,3 BHK,1800,2.0,70.0
New Town,4 Bedroom,2785,5.0,295.0
New Town,2 BHK,1000,2.0,38.0
Chkravarti Para,2 BHK,1100,2.0,40.0
Tollygunge,3 Bedroom,2250,3.0,148.0
Sarsuna,2 BHK,1175,2.0,73.5
Ultadanga,3 BHK,1180,3.0,48.0
Madurdaha Hussainpur,3 BHK,1540,3.0,60.0
New Alipore,3 BHK,2770,4.0,290.0
Mukundapur,2 BHK,1100,2.0,48.0
Barasat,1 BHK,600,1.0,15.0
Keshtopur,3 BHK,1755,3.0,122.0
Rajarhat,4 Bedroom,2800,5.0,380.0
Narendrapur,3 BHK,1767,3.0,103.0
New Town,1 RK,510,1.0,25.25
Joka,3 BHK,1250,3.0,56.0
Tangra,2 BHK,660,1.0,23.1
Sonarpur,3 BHK,1610,3.0,81.0
Sonarpur,2 BHK,1151,2.0,48.77
Madhyamgram,3 BHK,1025,2.0,47.0
Dum Dum,4 BHK,2100 - 2850,4.0,186.0
New Town,3 BHK,1075,2.0,35.0
New Town,3 BHK,1760,2.0,123.0
Chkravarti Para,3 BHK,1693,3.0,57.39
Tollygunge,3 BHK,1925,3.0,125.0
Sarsuna,2 BHK,700,2.0,36.0
Ultadanga,2 BHK,1070,2.0,45.5
Madurdaha Hussainpur,3 BHK,1724,3.0,125.0
New Alipore,3 BHK,1290,2.0,56.12
Mukundapur,2 BHK,1143,2.0,45.0
Kutighat,2 BHK,1296,2.0,81.0
New Town,3 BHK,1254,3.0,38.0
New Town,1 BHK,600,1.0,38.0
Dum Dum,1 Bedroom,660,1.0,48.0
Behala,2 BHK,1330.74,2.0,91.79
Sodepur,8 Bedroom,600,9.0,200.0
Konnagar,2 BHK,970,2.0,33.0
Uttarpara Kotrung,2 BHK,1459,2.0,94.82
Baguiati,2 Bedroom,800,1.0,130.0
Hooghly Chinsurah,2 BHK,869,2.0,36.0
